date,ap,fp_arima_010,fp_arima_14111,fp_lin,fp_poly,fp_rad,dir_ap,dir_010,dir_14111,dir_lin,dir_poly,dir_rad
2011/1/31,23447.34,23460.23912,23865.89265,25988.9053,21832.58778,24531.99718,,,,,,
2011/2/28,23338.02,23630.83429,25425.49293,26662.65488,22090.71553,24920.87889,Down,Up,Up,Up,Up,Up
2011/3/31,23527.52,23769.33563,24892.98957,27206.33486,23047.12817,25276.45135,Up,Up,Down,Up,Up,Up
2011/4/29,23720.81,23971.88279,25373.56544,27588.83432,23867.07026,25549.11857,Up,Up,Up,Up,Up,Up
2011/5/31,23684.13,24314.79286,25341.90078,27700.99906,23754.22053,25578.53082,Down,Up,Down,Up,Down,Up
2011/6/30,22398.1,24497.17236,24912.24017,24920.66432,13805.56015,21576.55866,Down,Up,Down,Down,Down,Down
2011/7/29,22440.25,24593.23449,24352.06729,24691.31252,13967.66237,21638.90045,Up,Up,Down,Down,Up,Up
2011/8/31,20534.85,24890.65798,23573.15091,22369.89474,8376.551278,16220.34774,Down,Up,Down,Down,Down,Down
2011/9/30,17592.41,24905.02473,22575.58205,20123.2366,6184.68252,13778.44409,Down,Up,Down,Down,Down,Down
2011/10/31,19864.87,25054.25041,22057.70119,20870.91741,11622.89326,18706.00805,Up,Up,Down,Up,Up,Up
2011/11/30,17989.35,25296.33314,22396.29659,18945.37768,9561.90388,16361.39908,Down,Up,Up,Down,Down,Down
2011/12/30,18434.39,25527.39049,22766.25475,18307.44342,10364.03857,16544.05106,Up,Up,Up,Down,Up,Up
2012/1/31,20390.49,25741.72707,23364.58815,18788.91305,13271.16525,18543.14321,Up,Up,Up,Up,Up,Up
2012/2/29,21680.08,25957.86329,23451.95623,19540.38312,14716.89547,19876.98006,Up,Up,Up,Up,Up,Up
2012/3/30,20555.58,26175.81427,23799.06234,19717.866,13489.93621,19204.6755,Down,Up,Up,Up,Down,Down
2012/4/30,21094.21,26395.59523,24022.66549,20015.54605,13831.75159,19574.09487,Up,Up,Up,Up,Up,Up
2012/5/31,18629.52,26617.22155,24234.894,19412.24371,11157.70839,17640.31074,Down,Up,Up,Down,Down,Down
2012/6/29,19441.46,26840.70872,24452.80421,20058.7006,12564.80544,18845.10203,Up,Up,Up,Up,Up,Up
2012/7/31,19796.81,27066.07237,24302.61934,20099.08585,13130.22779,19199.80064,Up,Up,Down,Up,Up,Up
2012/8/31,19482.57,27293.32824,23713.39319,19420.99368,12491.93211,18430.71464,Down,Up,Down,Down,Down,Down
2012/9/28,20840.38,27522.49223,23436.59582,20228.15604,14777.63904,20239.59483,Up,Up,Down,Up,Up,Up
2012/10/31,21641.82,27753.58036,23496.82218,20732.6074,15852.78353,20971.0313,Up,Up,Up,Up,Up,Up
2012/11/30,22030.39,27986.60878,23288.03714,21783.91323,16867.79109,21764.9392,Up,Up,Down,Up,Up,Up
2012/12/31,22656.92,28221.59378,23386.6564,22949.9529,18293.52977,22548.36745,Up,Up,Up,Up,Up,Up
2013/1/31,23729.53,28458.5518,23428.11883,24534.1804,20487.7081,23540.81576,Up,Up,Up,Up,Up,Up
2013/2/28,23020.27,28697.4994,23243.31689,24786.58124,19105.49612,23687.58116,Down,Up,Down,Up,Down,Up
2013/3/28,22299.63,28938.45329,23309.28682,24499.49813,16886.31323,23015.36665,Down,Up,Up,Down,Down,Down
2013/4/30,22737.01,29181.4303,23723.32384,24961.44079,17759.61311,23473.40987,Up,Up,Up,Up,Up,Up
2013/5/31,22392.16,29426.44744,23814.92417,24875.72451,16933.02222,23167.48682,Down,Up,Up,Down,Down,Down
2013/6/28,20803.29,29673.52181,23784.47033,23046.51424,11893.52656,19755.04416,Down,Up,Down,Down,Down,Down
2013/7/31,21883.66,29922.67071,23844.87059,23450.74191,15082.73043,21858.6809,Up,Up,Up,Up,Up,Up
2013/8/30,21731.37,30173.91155,23704.43453,22967.80462,14483.20678,21363.37712,Down,Up,Down,Down,Down,Down
2013/9/30,22859.86,30427.26189,23612.27997,23987.59836,17590.65604,23024.95738,Up,Up,Down,Up,Up,Up
2013/10/31,23206.37,30682.73944,23723.51383,24357.56507,18467.58919,23381.75035,Up,Up,Up,Up,Up,Up
2013/11/29,23881.29,30940.36207,23751.41544,25239.77195,20250.94527,24027.36564,Up,Up,Up,Up,Up,Up
2013/12/31,23306.39,31200.14778,23527.9724,25257.14082,18316.3493,23740.09247,Down,Up,Down,Up,Down,Down
2014/1/30,22035.42,31462.11475,23450.94796,24075.71477,13731.91532,21337.35108,Down,Up,Down,Down,Down,Down
2014/2/28,22836.96,31726.28128,23500.01622,25127.03586,16638.18549,23135.1868,Up,Up,Up,Up,Up,Up
2014/3/31,22151.06,31992.66584,23508.7674,24309.69093,14222.44468,21700.88029,Down,Up,Up,Down,Down,Down
2014/4/30,22133.97,32261.28705,23565.56515,23982.16446,14042.42017,21498.5039,Down,Up,Up,Down,Down,Down
2014/5/30,23081.65,32532.1637,23691.47154,24688.53655,17426.06853,23267.99245,Up,Up,Up,Up,Up,Up
2014/6/30,23190.72,32805.31472,23638.30612,24753.77875,17764.08275,23394.41379,Up,Up,Down,Up,Up,Up
2014/7/31,24756.85,33080.7592,23528.49528,26736.23927,22427.94049,24986.68028,Up,Up,Down,Up,Up,Up
2014/8/29,24742.06,33358.51641,23651.12904,27333.53612,23027.05503,25331.85443,Down,Up,Up,Up,Up,Up
2014/9/30,22932.98,33638.60577,23734.84551,25403.15039,14917.53485,22358.37413,Down,Up,Up,Down,Down,Down
2014/10/31,23998.06,33921.04685,23658.05043,26888.79816,18847.4492,24396.03535,Up,Up,Down,Up,Up,Up
2014/11/28,23987.45,34205.8594,23654.39035,27172.17002,19011.83704,24507.75637,Down,Up,Down,Up,Up,Up
2014/12/31,23605.04,34493.06333,23658.5786,26845.74327,17202.57594,23750.69535,Down,Up,Up,Down,Down,Down
2015/1/30,24507.05,34782.67873,23527.32592,27641.16451,20748.10172,25091.0477,Up,Up,Down,Up,Up,Up
2015/2/27,24823.29,35074.72583,23549.94829,27940.80105,21871.03582,25399.47744,Up,Up,Up,Up,Up,Up
2015/3/31,24900.89,35369.22506,23679.79278,28685.9192,22824.25121,25762.64787,Up,Up,Up,Up,Up,Up
2015/4/30,28133,35666.197,23614.77742,31957.14433,31887.59897,27846.78177,Up,Up,Down,Up,Up,Up
2015/5/29,27424.19,35965.66242,23539.24614,32225.27779,29511.11378,27242.41684,Down,Up,Down,Up,Down,Down
2015/6/30,26250.03,36267.64226,23609.01716,31769.57288,23550.19608,25839.00616,Down,Up,Up,Down,Down,Down
2015/7/31,24636.28,36572.15761,23606.98487,30389.06999,16780.94708,22867.8121,Down,Up,Down,Down,Down,Down
2015/8/31,21670.58,36879.22978,23574.44922,27841.97313,10562.48627,18187.47656,Down,Up,Down,Down,Down,Down
2015/9/30,20846.3,37188.88024,23675.39504,26261.22365,9419.887505,17266.89445,Down,Up,Up,Down,Down,Down
2015/10/30,22640.04,37501.13062,23685.18753,25846.60636,13800.80061,21669.0412,Up,Up,Up,Down,Up,Up
2015/11/30,21996.42,37816.00276,23571.54337,23939.4554,12215.89002,20223.09437,Down,Up,Down,Down,Down,Down
2015/12/31,21914.4,38133.51867,23588.95041,22684.74683,11774.93064,19554.75862,Down,Up,Up,Down,Down,Down
2016/1/29,19683.11,38453.70056,23661.16866,20632.01419,8968.588004,16502.74901,Down,Up,Up,Down,Down,Down
2016/2/29,19111.93,38776.5708,23612.3344,19866.18292,8484.127889,15842.38051,Down,Up,Down,Down,Down,Down
2016/3/31,20776.7,39102.15197,23601.96063,20942.73023,12192.18444,19104.50348,Up,Up,Down,Up,Up,Up
2016/4/29,21067.05,39430.46682,23651.88191,20720.21737,12684.55596,19282.47539,Up,Up,Up,Down,Up,Up
2016/5/31,20815.09,39761.53832,23589.96499,20300.65509,12180.28749,18754.5972,Down,Up,Down,Down,Down,Down
2016/6/30,20794.37,40095.38961,23548.3604,20016.91525,12081.82839,18537.07605,Down,Up,Down,Down,Down,Down
2016/7/29,21891.37,40432.04402,23638.61041,21395.38496,14982.71628,20897.04331,Up,Up,Up,Up,Up,Up
2016/8/31,22976.88,40771.5251,23654.38119,23086.73986,17613.28745,22594.84486,Up,Up,Up,Up,Up,Up
2016/9/30,23297.15,41113.85658,23583.56514,23983.80751,18702.47455,23213.65034,Up,Up,Down,Up,Up,Up
2016/10/31,22934.54,41459.06239,23613.91163,24100.19301,17735.06378,23111.27647,Down,Up,Up,Up,Down,Down
2016/11/30,22789.77,41807.16666,23639.62666,24497.38728,17491.90543,23213.18274,Down,Up,Up,Up,Down,Up
2016/12/30,22000.56,42158.19373,23582.52477,23945.1303,14344.13307,21659.50719,Down,Up,Down,Down,Down,Down
2017/1/27,23360.78,42512.16815,23612.13748,25629.95581,19226.568,24093.93783,Up,Up,Up,Up,Up,Up
2017/2/28,23740.73,42869.11465,23671.87894,26132.5717,20386.46783,24497.05392,Up,Up,Up,Up,Up,Up
2017/3/31,24111.59,43229.05819,23606.77117,26663.92517,21589.39433,24876.82846,Up,Up,Down,Up,Up,Up
2017/4/28,24615.13,43592.02395,23572.51213,27569.8734,23407.6054,25479.15755,Up,Up,Down,Up,Up,Up
2017/5/31,25660.65,43958.03728,23635.72271,29153.05953,26686.30641,26581.08892,Up,Up,Up,Up,Up,Up
2017/6/30,25764.58,44327.12379,23621.91951,30562.80973,28848.51929,27226.97428,Up,Up,Down,Up,Up,Up
2017/7/31,27323.99,44699.30927,23585.96917,32743.35814,33866.97257,28087.69459,Up,Up,Down,Up,Up,Up
2017/8/31,27970.3,45074.61975,23637.58577,34660.66334,38062.59648,28071.52329,Up,Up,Up,Up,Up,Down
2017/9/29,27554.3,45453.08146,23634.02765,35116.30694,36350.79129,27657.38667,Down,Up,Down,Up,Down,Down
2017/10/31,28245.54,45834.72087,23571.03667,37078.63102,41511.80311,27335.35103,Up,Up,Down,Up,Up,Down
2017/11/30,29177.35,46219.56464,23609.12289,39119.14786,47665.43189,26523.56005,Up,Up,Up,Up,Up,Down
2017/12/29,29919.15,46607.6397,23653.40257,41418.01493,54820.95808,25186.52206,Up,Up,Up,Up,Up,Down
2018/1/31,32887.27,46998.97316,23603.13556,44976.04963,68844.47028,22630.12,Up,Up,Down,Up,Up,Down
2018/2/28,30844.72,47393.59239,23600.62471,42976.23362,44721.33607,23369.57904,Down,Up,Down,Down,Down,Up
2018/3/29,30093.38,47791.52498,23641.97916,43303.37347,39202.95083,22070.01219,Down,Up,Up,Up,Down,Down
2018/4/30,30808.45,48192.79874,23603.98256,44546.17372,42289.04861,21594.17675,Up,Up,Down,Up,Up,Down
2018/5/31,30468.56,48597.44173,23586.96498,45418.119,43030.3635,20976.72681,Down,Up,Down,Up,Up,Down
2018/6/29,28955.11,49005.48225,23644.23648,42867.35597,27190.60011,18964.79349,Down,Up,Up,Down,Down,Down
2018/7/31,28583.01,49416.9488,23630.66097,40305.61194,22891.87255,19279.87779,Down,Up,Down,Down,Down,Up
2018/8/31,27888.55,49831.87017,23582.249,38211.04789,18239.56684,18511.8209,Down,Up,Down,Down,Down,Down
2018/9/28,27788.52,50250.27536,23617.7334,37066.37163,17194.00297,18703.23463,Down,Up,Up,Down,Down,Up
2018/10/31,24979.69,50672.19363,23634.01,32870.69957,9396.249653,15234.35119,Down,Up,Up,Down,Down,Down
2018/11/30,26506.75,51097.65445,23592.20076,33051.44244,15714.16074,20480.56217,Up,Up,Down,Up,Up,Up
2018/12/31,25845.7,51526.6876,23614.00661,31148.42179,12790.69732,19091.66752,Down,Up,Up,Down,Down,Down
2019/1/31,27942.47,51959.32304,23644.54496,33037.95655,21946.67122,24563.60726,Up,Up,Up,Up,Up,Up
2019/2/28,28633.18,52395.59105,23598.36856,33829.24097,24795.70997,25391.01509,Up,Up,Down,Up,Up,Up
2019/3/29,29051.36,52835.5221,23592.73814,34658.3466,27025.41241,25738.60537,Up,Up,Down,Up,Up,Up
2019/4/30,29699.11,53279.14697,23639.77833,37199.45744,32507.33114,25692.97823,Up,Up,Up,Up,Up,Down
2019/5/31,26901.09,53726.49665,23619.00859,34698.58949,17670.16049,20759.50516,Down,Up,Down,Down,Down,Down
2019/6/28,28542.62,54177.60244,23593.35342,37231.00815,25857.62293,23295.35653,Up,Up,Down,Up,Up,Up
2019/7/31,27777.75,54632.49587,23630.52451,36524.31804,22186.46346,22079.58904,Down,Up,Up,Down,Down,Down
2019/8/30,25724.73,55091.20873,23624.31258,33974.63336,14982.9103,19286.37938,Down,Up,Down,Down,Down,Down
2019/9/30,26092.27,55553.7731,23587.74887,33120.00906,15964.69127,20631.26692,Up,Up,Down,Down,Up,Up
2019/10/31,26906.72,56020.22132,23619.79879,32761.26833,18875.77235,22967.25959,Up,Up,Up,Down,Up,Up
2019/11/29,26346.49,56490.58599,23638.79107,32122.01001,16756.02405,21896.19254,Down,Up,Up,Down,Down,Down
2019/12/31,28189.75,56964.9,23597.79149,33539.38072,24416.17595,25401.37997,Up,Up,Down,Up,Up,Up
