Date,Date2,DateID,Month,Year,Close,SMA,CCI,ROC,RSI
1990/12/31,1990.12,1 ,12.00 ,1990.00 ,3024.00 ,3044.00 ,-4.43 ,6.61 ,52.02 
1991/1/31,1991.1,2 ,1.00 ,1991.00 ,3243.00 ,3011.50 ,96.96 ,17.86 ,62.67 
1991/2/28,1991.2,3 ,2.00 ,1991.00 ,3552.00 ,3089.00 ,163.43 ,20.33 ,72.88 
1991/3/28,1991.3,4 ,3.00 ,1991.00 ,3745.00 ,3253.17 ,133.91 ,24.96 ,77.49 
1991/4/30,1991.4,5 ,4.00 ,1991.00 ,3588.00 ,3352.83 ,85.00 ,21.59 ,66.46 
1991/5/31,1991.5,6 ,5.00 ,1991.00 ,3707.00 ,3476.50 ,76.19 ,18.36 ,70.30 
1991/6/28,1991.6,7 ,6.00 ,1991.00 ,3668.00 ,3583.83 ,34.61 ,11.90 ,67.27 
1991/7/31,1991.7,8 ,7.00 ,1991.00 ,4009.00 ,3711.50 ,164.12 ,16.61 ,77.47 
1991/8/30,1991.8,9 ,8.00 ,1991.00 ,3998.00 ,3785.83 ,107.46 ,29.51 ,76.54 
1991/9/30,1991.9,10 ,9.00 ,1991.00 ,3956.70 ,3821.12 ,76.56 ,43.36 ,72.64 
1991/10/31,1991.10,11 ,10.00 ,1991.00 ,4038.70 ,3896.23 ,91.22 ,35.07 ,75.61 
1991/11/29,1991.11,12 ,11.00 ,1991.00 ,4149.80 ,3970.03 ,133.79 ,39.96 ,79.26 
1991/12/31,1991.12,13 ,12.00 ,1991.00 ,4297.30 ,4074.92 ,124.57 ,42.11 ,83.25 
1992/1/31,1992.1,14 ,1.00 ,1992.00 ,4601.80 ,4173.72 ,152.70 ,41.90 ,88.66 
1992/2/28,1992.2,15 ,2.00 ,1992.00 ,4929.10 ,4328.90 ,142.20 ,38.77 ,91.99 
1992/3/31,1992.3,16 ,3.00 ,1992.00 ,4938.30 ,4492.50 ,108.31 ,31.86 ,92.07 
1992/4/30,1992.4,17 ,4.00 ,1992.00 ,5369.60 ,4714.32 ,102.59 ,49.65 ,94.89 
1992/5/29,1992.5,18 ,5.00 ,1992.00 ,6080.20 ,5036.05 ,151.70 ,64.02 ,97.00 
1992/6/30,1992.6,19 ,6.00 ,1992.00 ,6103.90 ,5337.15 ,111.65 ,66.41 ,97.05 
1992/7/31,1992.7,20 ,7.00 ,1992.00 ,5881.10 ,5550.37 ,66.58 ,46.70 ,82.01 
1992/8/28,1992.8,21 ,8.00 ,1992.00 ,5628.60 ,5666.95 ,4.39 ,40.79 ,67.73 
1992/9/30,1992.9,22 ,9.00 ,1992.00 ,5505.40 ,5761.47 ,-30.80 ,39.14 ,61.46 
1992/10/30,1992.10,23 ,10.00 ,1992.00 ,6190.70 ,5898.32 ,73.65 ,53.28 ,76.18 
1992/11/30,1992.11,24 ,11.00 ,1992.00 ,5810.60 ,5853.38 ,48.95 ,40.02 ,60.74 
1992/12/31,1992.12,25 ,12.00 ,1992.00 ,5512.40 ,5754.80 ,-110.98 ,28.28 ,51.01 
1993/1/29,1993.1,26 ,1.00 ,1993.00 ,5751.40 ,5733.18 ,2.27 ,24.98 ,57.55 
1993/2/26,1993.2,27 ,2.00 ,1993.00 ,6352.00 ,5853.75 ,92.06 ,28.87 ,69.74 
1993/3/31,1993.3,28 ,3.00 ,1993.00 ,6388.90 ,6001.00 ,91.65 ,29.37 ,70.36 
1993/4/30,1993.4,29 ,4.00 ,1993.00 ,6830.50 ,6107.63 ,133.81 ,27.21 ,77.16 
1993/5/31,1993.5,30 ,5.00 ,1993.00 ,7372.20 ,6367.90 ,137.10 ,21.25 ,82.92 
1993/6/30,1993.6,31 ,6.00 ,1993.00 ,7099.30 ,6632.38 ,85.44 ,16.31 ,71.95 
1993/7/30,1993.7,32 ,7.00 ,1993.00 ,6989.00 ,6838.65 ,47.93 ,18.84 ,67.61 
1993/8/31,1993.8,33 ,8.00 ,1993.00 ,7549.70 ,7038.27 ,89.86 ,34.13 ,76.32 
1993/9/30,1993.9,34 ,9.00 ,1993.00 ,7676.20 ,7252.82 ,117.89 ,39.43 ,77.93 
1993/10/29,1993.10,35 ,10.00 ,1993.00 ,9329.10 ,7669.25 ,194.69 ,50.70 ,89.31 
1993/11/30,1993.11,36 ,11.00 ,1993.00 ,9125.20 ,7961.42 ,119.96 ,57.04 ,82.98 
1993/12/31,1993.12,37 ,12.00 ,1993.00 ,11888.40 ,8759.60 ,140.18 ,115.67 ,92.09 
1994/1/31,1994.1,38 ,1.00 ,1994.00 ,11487.00 ,9509.27 ,110.16 ,99.73 ,84.23 
1994/2/28,1994.2,39 ,2.00 ,1994.00 ,10410.20 ,9986.02 ,53.72 ,63.89 ,66.07 
1994/3/31,1994.3,40 ,3.00 ,1994.00 ,9029.90 ,10211.63 ,-53.51 ,41.34 ,49.61 
1994/4/29,1994.4,41 ,4.00 ,1994.00 ,8966.10 ,10151.13 ,-68.90 ,31.27 ,48.94 
1994/5/31,1994.5,42 ,5.00 ,1994.00 ,9553.60 ,10222.53 ,-70.98 ,29.59 ,55.62 
1994/6/30,1994.6,43 ,6.00 ,1994.00 ,8758.40 ,9700.87 ,-67.99 ,23.37 ,45.87 
1994/7/29,1994.7,44 ,7.00 ,1994.00 ,9482.80 ,9366.83 ,-47.55 ,35.68 ,54.57 
1994/8/31,1994.8,45 ,8.00 ,1994.00 ,9929.40 ,9286.70 ,170.13 ,31.52 ,59.40 
1994/9/30,1994.9,46 ,9.00 ,1994.00 ,9521.20 ,9368.58 ,112.98 ,24.04 ,53.20 
1994/10/31,1994.10,47 ,10.00 ,1994.00 ,9646.30 ,9481.95 ,32.42 ,3.40 ,54.93 
1994/11/30,1994.11,48 ,11.00 ,1994.00 ,8466.30 ,9300.73 ,-90.58 ,-7.22 ,38.72 
1994/12/30,1994.12,49 ,12.00 ,1994.00 ,8191.00 ,9206.17 ,-145.09 ,-31.10 ,35.77 
1995/1/30,1995.1,50 ,1.00 ,1995.00 ,7342.70 ,8841.88 ,-127.91 ,-36.48 ,27.57 
1995/2/28,1995.2,51 ,2.00 ,1995.00 ,8327.50 ,8582.50 ,-54.13 ,-20.01 ,44.81 
1995/3/31,1995.3,52 ,3.00 ,1995.00 ,8587.70 ,8426.92 ,5.70 ,-4.90 ,48.64 
1995/4/28,1995.4,53 ,4.00 ,1995.00 ,8361.00 ,8212.70 ,37.30 ,-6.75 ,45.35 
1995/5/31,1995.5,54 ,5.00 ,1995.00 ,9407.40 ,8369.55 ,133.06 ,-1.53 ,60.23 
1995/6/30,1995.6,55 ,6.00 ,1995.00 ,9206.50 ,8538.80 ,123.05 ,5.12 ,56.67 
1995/7/31,1995.7,56 ,7.00 ,1995.00 ,9453.40 ,8890.58 ,95.52 ,-0.31 ,60.14 
1995/8/31,1995.8,57 ,8.00 ,1995.00 ,9179.90 ,9032.65 ,33.71 ,-7.55 ,54.36 
1995/9/29,1995.9,58 ,9.00 ,1995.00 ,9646.30 ,9209.08 ,89.18 ,1.31 ,61.86 
1995/10/31,1995.10,59 ,10.00 ,1995.00 ,9782.40 ,9445.98 ,129.29 ,1.41 ,63.94 
1995/11/30,1995.11,60 ,11.00 ,1995.00 ,9813.30 ,9513.63 ,59.15 ,15.91 ,64.47 
1995/12/29,1995.12,61 ,12.00 ,1995.00 ,10073.40 ,9658.12 ,107.08 ,22.98 ,69.04 
1996/1/31,1996.1,62 ,1.00 ,1996.00 ,11359.70 ,9975.83 ,184.61 ,54.71 ,82.44 
1996/2/29,1996.2,63 ,2.00 ,1996.00 ,11125.70 ,10378.35 ,126.22 ,39.24 ,83.97 
1996/3/29,1996.3,64 ,3.00 ,1996.00 ,10957.20 ,10518.62 ,50.81 ,27.59 ,70.09 
1996/4/30,1996.4,65 ,4.00 ,1996.00 ,10964.50 ,10715.63 ,44.04 ,31.14 ,70.20 
1996/5/31,1996.5,66 ,5.00 ,1996.00 ,11264.70 ,10957.53 ,41.83 ,19.74 ,74.69 
1996/6/28,1996.6,67 ,6.00 ,1996.00 ,11020.90 ,11115.45 ,6.71 ,19.71 ,65.13 
1996/7/31,1996.7,68 ,7.00 ,1996.00 ,10681.40 ,11002.40 ,-113.78 ,12.99 ,53.64 
1996/8/30,1996.8,69 ,8.00 ,1996.00 ,11159.00 ,11007.95 ,116.90 ,21.56 ,64.28 
1996/9/30,1996.9,70 ,9.00 ,1996.00 ,11902.40 ,11141.65 ,179.58 ,21.91 ,73.46 
1996/10/31,1996.10,71 ,10.00 ,1996.00 ,12477.60 ,11417.67 ,157.72 ,27.55 ,80.44 
1996/11/29,1996.11,72 ,11.00 ,1996.00 ,13393.90 ,11772.53 ,141.14 ,36.49 ,86.19 
1996/12/31,1996.12,73 ,12.00 ,1996.00 ,13451.50 ,12177.63 ,91.05 ,33.53 ,86.49 
1997/1/31,1997.1,74 ,1.00 ,1997.00 ,13321.80 ,12617.70 ,80.28 ,17.27 ,81.70 
1997/2/28,1997.2,75 ,2.00 ,1997.00 ,13398.70 ,12990.98 ,57.63 ,20.43 ,82.39 
1997/3/27,1997.3,76 ,3.00 ,1997.00 ,12534.30 ,13096.30 ,-51.10 ,14.39 ,54.52 
1997/4/30,1997.4,77 ,4.00 ,1997.00 ,12903.30 ,13167.25 ,-126.20 ,17.68 ,61.24 
1997/5/30,1997.5,78 ,5.00 ,1997.00 ,14757.80 ,13394.57 ,144.61 ,31.01 ,79.50 
1997/6/27,1997.6,79 ,6.00 ,1997.00 ,15196.80 ,13685.45 ,135.46 ,37.89 ,81.92 
1997/7/31,1997.7,80 ,7.00 ,1997.00 ,16365.70 ,14192.77 ,126.58 ,53.22 ,86.87 
1997/8/29,1997.8,81 ,8.00 ,1997.00 ,14135.20 ,14315.52 ,55.53 ,26.67 ,53.39 
1997/9/30,1997.9,82 ,9.00 ,1997.00 ,15049.30 ,14734.68 ,-8.83 ,26.44 ,60.82 
1997/10/31,1997.10,83 ,10.00 ,1997.00 ,10623.80 ,14354.77 ,-190.34 ,-14.86 ,31.58 
1997/11/28,1997.11,84 ,11.00 ,1997.00 ,10526.90 ,13649.62 ,-119.22 ,-21.41 ,31.19 
1997/12/31,1997.12,85 ,12.00 ,1997.00 ,10722.80 ,12903.95 ,-70.40 ,-20.29 ,33.21 
1998/1/27,1998.1,86 ,1.00 ,1998.00 ,9252.40 ,11663.03 ,-98.25 ,-33.04 ,25.08 
1998/2/27,1998.2,87 ,2.00 ,1998.00 ,11480.70 ,11275.98 ,-20.03 ,-14.31 ,46.58 
1998/3/31,1998.3,88 ,3.00 ,1998.00 ,11518.70 ,10687.55 ,74.08 ,-8.10 ,46.88 
1998/4/30,1998.4,89 ,4.00 ,1998.00 ,10383.68 ,10647.53 ,13.22 ,-19.53 ,39.04 
1998/5/29,1998.5,90 ,5.00 ,1998.00 ,8934.56 ,10382.14 ,-93.57 ,-39.46 ,31.07 
1998/6/30,1998.6,91 ,6.00 ,1998.00 ,8543.10 ,10018.86 ,-114.92 ,-43.78 ,29.14 
1998/7/31,1998.7,92 ,7.00 ,1998.00 ,7936.20 ,9799.49 ,-92.40 ,-51.51 ,26.13 
1998/8/31,1998.8,93 ,8.00 ,1998.00 ,7275.04 ,9098.55 ,-101.85 ,-48.53 ,23.01 
1998/9/30,1998.9,94 ,9.00 ,1998.00 ,7883.46 ,8492.67 ,-60.16 ,-47.62 ,31.97 
1998/10/30,1998.10,95 ,10.00 ,1998.00 ,10154.94 ,8454.55 ,92.70 ,-4.41 ,55.27 
1998/11/30,1998.11,96 ,11.00 ,1998.00 ,10402.32 ,8699.18 ,139.43 ,-1.18 ,57.19 
1998/12/31,1998.12,97 ,12.00 ,1998.00 ,10048.58 ,8950.09 ,76.84 ,-6.29 ,53.27 
1999/1/29,1999.1,98 ,1.00 ,1999.00 ,9506.90 ,9211.87 ,49.80 ,2.75 ,47.32 
1999/2/26,1999.2,99 ,2.00 ,1999.00 ,9858.49 ,9540.12 ,-13.81 ,-19.48 ,44.43 
1999/3/31,1999.3,100 ,3.00 ,1999.00 ,10942.20 ,10152.24 ,117.39 ,-5.00 ,62.61 
1999/4/30,1999.4,101 ,4.00 ,1999.00 ,13333.20 ,10681.95 ,189.85 ,28.41 ,76.71 
1999/5/31,1999.5,102 ,5.00 ,1999.00 ,12147.12 ,10972.75 ,100.19 ,35.96 ,62.65 
1999/6/30,1999.6,103 ,6.00 ,1999.00 ,13532.14 ,11553.34 ,87.36 ,58.40 ,70.28 
1999/7/30,1999.7,104 ,7.00 ,1999.00 ,13186.86 ,12166.67 ,75.70 ,66.16 ,66.23 
1999/8/31,1999.8,105 ,8.00 ,1999.00 ,13482.77 ,12770.72 ,58.88 ,85.33 ,68.12 
1999/9/30,1999.9,106 ,9.00 ,1999.00 ,12733.24 ,13069.22 ,21.16 ,61.52 ,58.22 
1999/10/29,1999.10,107 ,10.00 ,1999.00 ,13256.95 ,13056.51 ,-64.33 ,30.55 ,62.76 
1999/11/30,1999.11,108 ,11.00 ,1999.00 ,15377.19 ,13594.86 ,196.74 ,47.82 ,75.62 
1999/12/30,1999.12,109 ,12.00 ,1999.00 ,16962.10 ,14166.52 ,152.17 ,68.80 ,81.39 
2000/1/31,2000.1,110 ,1.00 ,2000.00 ,15532.34 ,14666.37 ,84.72 ,70.25 ,71.46 
2000/2/29,2000.2,111 ,2.00 ,2000.00 ,17169.44 ,15171.88 ,89.87 ,74.16 ,72.50 
2000/3/31,2000.3,112 ,3.00 ,2000.00 ,17406.54 ,15950.76 ,88.31 ,59.08 ,73.51 
2000/4/28,2000.4,113 ,4.00 ,2000.00 ,15519.30 ,16327.82 ,-32.14 ,16.40 ,54.45 
2000/5/31,2000.5,114 ,5.00 ,2000.00 ,14713.86 ,16217.26 ,-139.99 ,21.13 ,48.07 
2000/6/30,2000.6,115 ,6.00 ,2000.00 ,16155.78 ,16082.88 ,-30.11 ,19.39 ,58.52 
2000/7/31,2000.7,116 ,7.00 ,2000.00 ,16840.98 ,16300.98 ,57.33 ,27.71 ,62.78 
2000/8/31,2000.8,117 ,8.00 ,2000.00 ,17097.51 ,16289.00 ,69.62 ,26.81 ,64.43 
2000/9/29,2000.9,118 ,9.00 ,2000.00 ,15648.98 ,15996.07 ,-9.93 ,22.90 ,49.58 
2000/10/31,2000.10,119 ,10.00 ,2000.00 ,14895.34 ,15892.08 ,-77.03 ,12.36 ,43.35 
2000/11/30,2000.11,120 ,11.00 ,2000.00 ,13984.39 ,15770.50 ,-112.03 ,-9.06 ,36.66 
2000/12/29,2000.12,121 ,12.00 ,2000.00 ,15095.53 ,15593.79 ,-65.42 ,-11.00 ,48.33 
2001/1/31,2001.1,122 ,1.00 ,2001.00 ,16102.35 ,15442.55 ,-7.42 ,2.58 ,55.71 
2001/2/28,2001.2,123 ,2.00 ,2001.00 ,14787.87 ,15085.74 ,-4.72 ,-13.87 ,45.15 
2001/3/30,2001.3,124 ,3.00 ,2001.00 ,12760.64 ,14604.35 ,-181.52 ,-26.69 ,32.63 
2001/4/27,2001.4,125 ,4.00 ,2001.00 ,13386.04 ,14352.80 ,-110.14 ,-13.75 ,38.90 
2001/5/31,2001.5,126 ,5.00 ,2001.00 ,13174.41 ,14217.81 ,-54.90 ,-10.46 ,37.49 
2001/6/29,2001.6,127 ,6.00 ,2001.00 ,13042.53 ,13875.64 ,-49.93 ,-19.27 ,36.49 
2001/7/31,2001.7,128 ,7.00 ,2001.00 ,12316.69 ,13244.70 ,-105.70 ,-26.86 ,31.05 
2001/8/31,2001.8,129 ,8.00 ,2001.00 ,11090.48 ,12628.47 ,-160.30 ,-35.13 ,23.85 
2001/9/28,2001.9,130 ,9.00 ,2001.00 ,9950.70 ,12160.14 ,-150.73 ,-36.41 ,18.95 
2001/10/31,2001.10,131 ,10.00 ,2001.00 ,10073.97 ,11608.13 ,-88.82 ,-32.37 ,21.05 
2001/11/30,2001.11,132 ,11.00 ,2001.00 ,11279.25 ,11292.27 ,-28.47 ,-19.34 ,39.50 
2001/12/31,2001.12,133 ,12.00 ,2001.00 ,11397.21 ,11018.05 ,32.45 ,-24.50 ,41.12 
2002/1/31,2002.1,134 ,1.00 ,2002.00 ,10725.30 ,10752.82 ,28.56 ,-33.39 ,34.77 
2002/2/28,2002.2,135 ,2.00 ,2002.00 ,10482.55 ,10651.50 ,-9.70 ,-29.11 ,32.59 
2002/3/28,2002.3,136 ,3.00 ,2002.00 ,11032.92 ,10831.87 ,11.13 ,-13.54 ,42.42 
2002/4/30,2002.4,137 ,4.00 ,2002.00 ,11497.58 ,11069.14 ,48.45 ,-14.11 ,49.83 
2002/5/31,2002.5,138 ,5.00 ,2002.00 ,11301.94 ,11072.92 ,100.93 ,-14.21 ,46.78 
2002/6/28,2002.6,139 ,6.00 ,2002.00 ,10598.55 ,10939.81 ,-68.43 ,-18.74 ,37.03 
2002/7/31,2002.7,140 ,7.00 ,2002.00 ,10267.36 ,10863.48 ,-126.07 ,-16.64 ,33.13 
2002/8/30,2002.8,141 ,8.00 ,2002.00 ,10043.87 ,10790.37 ,-118.55 ,-9.44 ,30.52 
2002/9/30,2002.9,142 ,9.00 ,2002.00 ,9072.21 ,10500.63 ,-118.59 ,-6.59 ,23.19 
2002/10/31,2002.10,143 ,10.00 ,2002.00 ,9441.25 ,10120.86 ,-91.49 ,-6.28 ,30.82 
2002/11/29,2002.11,144 ,11.00 ,2002.00 ,10069.87 ,9915.52 ,-13.00 ,-10.72 ,44.17 
2002/12/31,2002.12,145 ,12.00 ,2002.00 ,9321.29 ,9702.64 ,-33.21 ,-18.21 ,34.62 
2003/1/30,2003.1,146 ,1.00 ,2003.00 ,9258.95 ,9531.55 ,-50.18 ,-13.84 ,33.68 
2003/2/28,2003.2,147 ,2.00 ,2003.00 ,9122.66 ,9381.04 ,-103.50 ,-12.97 ,32.11 
2003/3/31,2003.3,148 ,3.00 ,2003.00 ,8634.45 ,9308.08 ,-143.44 ,-21.74 ,26.19 
2003/4/30,2003.4,149 ,4.00 ,2003.00 ,8717.22 ,9187.41 ,-109.29 ,-24.18 ,28.86 
2003/5/30,2003.5,150 ,5.00 ,2003.00 ,9487.38 ,9090.33 ,21.41 ,-16.06 ,49.31 
2003/6/30,2003.6,151 ,6.00 ,2003.00 ,9577.12 ,9132.96 ,122.99 ,-9.64 ,51.27 
2003/7/31,2003.7,152 ,7.00 ,2003.00 ,10134.83 ,9278.94 ,121.04 ,-1.29 ,62.18 
2003/8/29,2003.8,153 ,8.00 ,2003.00 ,10908.99 ,9576.67 ,123.65 ,8.61 ,72.45 
2003/9/30,2003.9,154 ,9.00 ,2003.00 ,11229.87 ,10009.24 ,124.15 ,23.78 ,75.73 
2003/10/31,2003.10,155 ,10.00 ,2003.00 ,12190.10 ,10588.05 ,127.84 ,29.12 ,82.99 
2003/11/28,2003.11,156 ,11.00 ,2003.00 ,12317.47 ,11059.73 ,99.82 ,22.32 ,83.77 
2003/12/31,2003.12,157 ,12.00 ,2003.00 ,12575.94 ,11559.53 ,89.05 ,34.92 ,85.38 
2004/1/30,2004.1,158 ,1.00 ,2004.00 ,13289.37 ,12085.29 ,123.63 ,43.53 ,89.01 
2004/2/27,2004.2,159 ,2.00 ,2004.00 ,13907.03 ,12584.96 ,114.82 ,52.44 ,91.27 
2004/3/31,2004.3,160 ,3.00 ,2004.00 ,12681.67 ,12826.93 ,36.52 ,46.87 ,61.33 
2004/4/30,2004.4,161 ,4.00 ,2004.00 ,11942.96 ,12785.74 ,-68.08 ,37.00 ,49.57 
2004/5/31,2004.5,162 ,5.00 ,2004.00 ,12198.24 ,12765.87 ,-115.92 ,28.57 ,53.28 
2004/6/30,2004.6,163 ,6.00 ,2004.00 ,12285.75 ,12717.50 ,-54.92 ,28.28 ,54.66 
2004/7/30,2004.7,164 ,7.00 ,2004.00 ,12238.03 ,12542.28 ,-43.45 ,20.75 ,53.62 
2004/8/31,2004.8,165 ,8.00 ,2004.00 ,12850.28 ,12366.16 ,56.68 ,17.80 ,64.07 
2004/9/30,2004.9,166 ,9.00 ,2004.00 ,13120.03 ,12439.22 ,148.06 ,16.83 ,67.89 
2004/10/29,2004.10,167 ,10.00 ,2004.00 ,13054.66 ,12624.50 ,86.27 ,7.09 ,65.86 
2004/11/30,2004.11,168 ,11.00 ,2004.00 ,14060.05 ,12934.80 ,125.41 ,14.15 ,78.03 
2004/12/31,2004.12,169 ,12.00 ,2004.00 ,14230.14 ,13258.87 ,124.01 ,13.15 ,79.51 
2005/1/31,2005.1,170 ,1.00 ,2005.00 ,13721.69 ,13506.14 ,52.25 ,3.25 ,64.01 
2005/2/28,2005.2,171 ,2.00 ,2005.00 ,14195.35 ,13730.32 ,64.41 ,2.07 ,70.45 
2005/3/31,2005.3,172 ,3.00 ,2005.00 ,13516.88 ,13796.46 ,-18.04 ,6.59 ,53.88 
2005/4/29,2005.4,173 ,4.00 ,2005.00 ,13908.97 ,13938.85 ,-44.49 ,16.46 ,60.35 
2005/5/31,2005.5,174 ,5.00 ,2005.00 ,13867.07 ,13906.68 ,-3.32 ,13.68 ,59.28 
2005/6/30,2005.6,175 ,6.00 ,2005.00 ,14201.06 ,13901.84 ,133.63 ,15.59 ,65.17 
